WMU,Year,Active Hunters,Antlered Harvest,Antlerless Harvest,Total Harvest
2,2009,51,0,0,0
2,2010,86,0,0,0
2,2011,113,0,0,0
2,2012,30,0,0,0
2,2013,48,2,0,2
2,2014,9,0,0,0
2,2015,24,0,0,0
2,2016,72,0,0,0
2,2017,167,0,0,0
2,2018,57,23,0,23
2,2019,60,2,0,2
2,2020,49,12,0,12
2,2021,45,5,0,5
2,2022,57,1,0,1
2,2023,47,2,0,2
2,2024,37,3,0,3
3,2008,457,99,47,146
3,2009,506,80,37,117
3,2010,339,63,40,103
3,2011,523,36,15,51
3,2012,238,18,42,60
3,2013,386,38,25,63
3,2014,244,19,0,19
3,2015,214,4,6,10
3,2016,345,5,3,8
3,2017,335,13,6,19
3,2018,305,2,0,2
3,2019,165,13,0,13
3,2020,166,10,5,15
3,2021,151,10,7,17
3,2022,111,9,6,15
3,2023,140,10,2,12
3,2024,112,12,2,14
4,2008,194,5,0,5
4,2009,169,21,0,21
4,2010,180,32,2,34
4,2011,102,21,0,21
4,2012,198,31,5,36
4,2013,145,3,6,9
4,2014,209,2,0,2
4,2015,188,3,2,5
4,2016,230,0,3,3
4,2017,68,0,2,2
4,2018,121,0,0,0
4,2019,71,8,0,8
4,2020,72,13,1,14
4,2021,66,7,2,9
4,2022,69,2,2,4
4,2023,77,10,2,12
4,2024,78,5,2,7
5,2008,1207,228,193,421
5,2009,1398,249,230,479
5,2010,1100,215,258,473
5,2011,1255,216,200,416
5,2012,1399,349,314,663
5,2013,1392,168,108,276
5,2014,925,73,89,162
5,2015,995,46,44,90
5,2016,979,39,43,82
5,2017,739,70,103,173
5,2018,843,58,29,87
5,2019,496,35,17,52
5,2020,505,46,28,74
5,2021,382,38,21,59
5,2022,304,20,4,24
5,2023,290,28,9,37
5,2024,303,21,1,22
6,2008,254,20,46,66
6,2009,251,40,30,70
6,2010,184,15,46,61
6,2011,181,14,39,53
6,2012,270,73,61,134
6,2013,236,6,41,47
6,2014,256,27,49,76
6,2015,291,56,0,56
6,2016,192,11,23,34
6,2017,294,5,13,18
6,2018,218,7,2,9
6,2019,123,11,2,13
6,2020,117,12,1,13
6,2021,90,19,4,23
6,2022,87,8,0,8
6,2023,107,18,2,20
6,2024,106,11,1,12
8,2008,1394,571,635,1206
8,2009,1352,601,453,1054
8,2010,1394,624,592,1216
8,2011,1475,543,605,1148
8,2012,1552,608,696,1304
8,2013,1587,607,693,1300
8,2014,1153,396,476,872
8,2015,1453,470,514,984
8,2016,1654,485,577,1062
8,2017,1620,557,767,1324
8,2018,1584,424,572,996
8,2019,1429,472,549,1021
8,2020,1634,610,714,1324
8,2021,1515,637,650,1287
8,2022,1380,439,312,751
8,2023,1296,443,220,663
8,2024,1413,479,224,703
10,2008,2699,1217,1462,2679
10,2009,2428,985,1099,2084
10,2010,2410,982,1111,2093
10,2011,2476,921,980,1901
10,2012,2776,1233,1139,2372
10,2013,2679,891,976,1867
10,2014,1860,445,409,854
10,2015,2148,850,361,1211
10,2016,2032,770,413,1183
10,2017,2112,831,469,1300
10,2018,2176,681,544,1225
10,2019,2004,667,391,1058
10,2020,2000,574,377,951
10,2021,1845,733,231,964
10,2022,1759,554,202,756
10,2023,1610,597,107,704
10,2024,1701,655,82,737
13,2008,3281,1032,715,1747
13,2009,3251,1009,671,1680
13,2010,3273,922,698,1620
13,2011,3128,1076,792,1868
13,2012,4170,1481,1100,2581
13,2013,4383,1476,809,2285
13,2014,3698,1074,1027,2101
13,2015,4005,1246,933,2179
13,2016,4642,1405,901,2306
13,2017,4391,1380,943,2323
